
 Method : GET , url : / , time : 1785039473921

 Method : GET , url : /favicon.ico , time : 1785039474460

 Method : GET , url : / , time : 1785039475693

 Method : GET , url : /users , time : 1785039481074

 Method : GET , url : /users , time : 1785039495249

 Method : GET , url : /users , time : 1785039495781

 Method : GET , url : /users , time : 1785039496639

 Method : GET , url : /users , time : 1785039497077

 Method : GET , url : /users , time : 1785039497180

 Method : GET , url : /users , time : 1785039497390

 Method : GET , url : /api/users , time : 1785039512108

 Method : GET , url : /api/users/1 , time : 1785042902841

 Method : GET , url : /api/users/1 , time : 1785043538734

 Method : GET , url : / , time : 1785043549148

 Method : GET , url : /api/users , time : 1785043564341

 Method : POST , url : /api/auth/login , time : 1785043719024

 Method : GET , url : /api/users , time : 1785043865387

 Method : GET , url : /api/users , time : 1785044036300

 Method : GET , url : /api/users , time : 1785044048163

 Method : POST , url : /api/auth/login , time : 1785130028402

 Method : GET , url : /api/users , time : 1785130059551

 Method : GET , url : /api/users , time : 1785130081128

 Method : POST , url : /api/auth/login , time : 1785130123247

 Method : GET , url : /api/users , time : 1785130144388
